slug,url,name,type,tags,cas_no,odour,solvent,synonyms,manufacturer
toscanol,https://pellwall.com/products/toscanol,Toscanol,liquid,"['anise', 'anisic', 'arak', 'aroma-chemicals', 'basil', 'green', 'herbaceous', 'herbal', 'ingredients-for-perfumery', 'liqueure', 'liquids', 'liquorice', 'molecules', 'saffron', 'spicy', 'sweet']",['16510-27-3'],"['green-anis', 'sweet', 'spicy', 'liquorice', 'basil']",,['1-(cyclopropylmethyl)-4-methoxybenzene'],Givaudan
orange-terpenes-b,https://pellwall.com/products/orange-terpenes-b,Orange Terpenes B,liquid,"['citrus', 'fresh', 'ingredients-for-perfumery', 'liquids', 'molecules', 'natural-ingredients-for-perfumery', 'natural-isolates', 'orange', 'refreshing', 'sharp', 'sweet']",['68647-72-3'],,,"['d-limonene', 'dextro-limonene']",
orange-flower-blend,https://pellwall.com/products/orange-flower-blend,Orange Flower Blend,liquid,"['aroma-chemicals', 'blends-and-bases', 'floral', 'fruity', 'ingredients-for-perfumery', 'liquids', 'neroli', 'orange-blossom', 'pell-wall-specialities', 'radiant']",[],,,[],Pell Wall
orange-flower-absolute-10,https://pellwall.com/products/orange-flower-absolute-10,Orange Flower Absolute 10%,liquid,"['absolutes', 'amber', 'animalic', 'balsamic', 'fixatives', 'floral', 'green', 'honey', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'neroli', 'orange-blossom', 'stems']",['8030-28-2'],,Ethanol to give a 10% solution of orange blossom absolute,['Citrus aurantium Amara absolute'],
galbanum-pyrazine-0-1-in-dpg,https://pellwall.com/products/galbanum-pyrazine-0-1-in-dpg,Galbanum Pyrazine 0.1% in DPG,liquid,"['aroma-chemicals', 'bell-pepper', 'galbanum', 'green', 'green-peas', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'natural', 'nutty', 'roasted']",['24683-00-9'],,DPG to form a 0.1% solution of galbanum pyrazine,['2-isobutyl-3-methoxypyrazine'],
calone-firmenich-crystals,https://pellwall.com/products/calone-firmenich-crystals,Calone (Firmenich) Crystals,solid,"['aroma-chemicals', 'clean', 'fresh', 'fruity', 'green', 'ingredients-for-perfumery', 'marine', 'melon', 'molecules', 'ozone', 'solids', 'watery']",['28940-11-6'],"['fresh', 'watery', 'clean', 'melon-green', 'marine', 'ozone']",,"['Calone', 'watermelon ketone']",Firmenich
basil-oil-methyl-chavicol-albert-vieille,https://pellwall.com/products/basil-oil-methyl-chavicol-albert-vieille,Basil oil Methyl Chavicol - Albert Vieille,liquid,"['anise', 'anisic', 'balsamic', 'essential-oils', 'fresh', 'fruity', 'green', 'herbaceous', 'herbal', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'spicy', 'sweet']",['8015-73-4'],,,"['Basil Oil estragole type', 'Exotic Basil Oil Ocimum basilicum – methyl chavicol type']",
tetrahydrolinalool,https://pellwall.com/products/tetrahydrolinalool,Tetrahydrolinalool,liquid,"['aroma-chemicals', 'citrus', 'fixatives', 'floral', 'fresh', 'ingredients-for-perfumery', 'lilac', 'liquids', 'molecules', 'rose', 'tea', 'woody']",['78-69-3'],,,"['3,7-dimethyloctan-3-ol', 'linalool tetrahydride', 'tetra hydro linalool']",
propenyl-guaethol,https://pellwall.com/products/propenyl-guaethol,Propenyl Guaethol,solid,"['aroma-chemicals', 'chocolate', 'creamy', 'fixatives', 'ingredients-for-perfumery', 'medicinal', 'molecules', 'phenolic', 'powdery', 'solids', 'spicy', 'sweet', 'tobacco', 'vanilla', 'woody']",['94-86-0'],,,"['2-ethoxy-5-prop-1-enylphenol;\xa0ethoxypropenyl phenol', 'isoSafro Eugenol', 'propenylguaethol;\xa0trans-2-Ethoxy-5-(1-propenyl)phenol;\xa0Vaniatrope;\xa0Vanitrope']",
phenyl-propyl-alcohol,https://pellwall.com/products/phenyl-propyl-alcohol,Phenyl Propyl Alcohol,liquid,"['aroma-chemicals', 'balsamic', 'cinnamic', 'clean', 'cyclamen', 'floral', 'fresh', 'green', 'ingredients-for-perfumery', 'lilac', 'lily', 'liquids', 'mild', 'molecules', 'natural', 'paeony', 'peony', 'petal', 'rose', 'violet', 'warm']",['122-97-4'],,,"['3-Phenyl Propanol', '3-Pheny-1-propanol', '3-phenyl propyl alcohol', '3-Phenylpropanol', 'hydrocinnamic alcohol', 'hydrocinnamyl alcohol', 'Phenylpropanol', 'Phenylpropyl alcohol']",
jasmine-incense-accord,https://pellwall.com/products/jasmine-incense-accord,Jasmine Incense Accord,liquid,"['ambery', 'aroma-chemicals', 'blends-and-bases', 'floral', 'hot', 'incense', 'ingredients-for-perfumery', 'jasmine', 'liquids', 'olibanum', 'oud', 'pell-wall-specialities', 'radiant', 'rich', 'smoky', 'sweet', 'warm']",[],,,[],
strawberry-blend,https://pellwall.com/products/strawberry-blend,Strawberry Blend,,"['bases-and-blends', 'fresh', 'fruity', 'liquid', 'pell-wall-blend', 'radiant', 'rich', 'strawberry', 'sweet']",[],,,['Strawberry recreation'],Pell Wall
dimethyl-sulphide-neat,https://pellwall.com/products/dimethyl-sulphide-neat,"Dimethyl sulphide, neat",liquid,"['aroma-chemicals', 'cabbage', 'coffee-like', 'cooked', 'creamy', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'meaty', 'molecules', 'onion', 'rubbery', 'sulphurous', 'vegetable']",['75-18-3'],"['cabbage', 'sulphurous', 'onion', 'creamy']",,"['Dimethyl sufide', 'DMS', 'exact-S', 'methane thiomethane', '2-thiopropane']",
dihydroambrettolide,https://pellwall.com/products/dihydroambrettolide,Dihydroambrettolide,solid,"['ambery', 'animalic', 'aroma-chemicals', 'balsamic', 'fixatives', 'floral', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'perfume-like', 'radiant', 'solids', 'sweet']",['109-29-5'],,"IPM 50%,","['1-oxacycloheptadecan-2-one', '16-hexadecanolide;\xa0DHA', 'Dihydro Ambrettolide', 'Cetanolide', 'hexadecane-16-olide', 'Hexadecanolide', 'juniper lactone']",ACS
operanide,https://pellwall.com/products/operanide,Operanide,liquid,"['amber', 'ambery', 'animalic', 'aroma-chemicals', 'cedarwood', 'creamy', 'driftwood', 'dry', 'ingredients-for-perfumery', 'liquids', 'molecules', 'mossy', 'musky', 'precious-woods', 'radiant', 'woody']",['823178-41-2'],"['dry-wood', 'creamy-soft', 'amber', 'cedarwood', 'musky']",,"['2,2,6,6,7,8,8-Heptamethyl-4,5,6,7,8,8B-hexahydro-3H-indeno[5,4-D][1,3] dioxole']",IFF
trisamber,https://pellwall.com/products/trisamber,Trisamber,liquid,"['aroma-chemicals', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules']","['338735-71-0', '351343-77-6']","['amber', 'woody', 'velvety']",,"['Decahydro-2,6,6,7,8,8-hexamethyl-2h-indeno[4,5-b]furan (and isomer)']",IFF
romilat,https://pellwall.com/products/romilat,Romilat,liquid,"['apple', 'aroma-chemicals', 'bay', 'chamomile', 'floral', 'fresh', 'fruity', 'herbal', 'ingredients-for-perfumery', 'lavender', 'liquids', 'molecules', 'radiant', 'rose', 'strawberry']",['104468-21-5'],"['fresh', 'herbal-chamomile and bay', 'floral-rose']",,"['3-methyl-3-butenyl 2,2-dimethyl propionate']",Kao
ethyl-linalyl-acetate,https://pellwall.com/products/ethyl-linalyl-acetate,Ethyl linalyl acetate,liquid,"['aroma-chemicals', 'clean', 'floral', 'fruity', 'ingredients-for-perfumery', 'liquids', 'mild', 'molecules', 'refreshing', 'sweet']",['61931-80-'],,,['Homo Iinalylacetate'],Givaudan
thyme-oil,https://pellwall.com/products/thyme-oil,Thyme oil,liquid,"['camphoraceous', 'clean', 'essential-oils', 'fresh', 'herbaceous', 'herbal', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery', 'sharp', 'spicy', 'sweet', 'terpenic', 'thyme', 'warm']",['8007-46-3'],['herbal-thyme'],,"['Thymus vulgaris', 'thyme oil', 'white', 'white thyme']",
propiophenone,https://pellwall.com/products/propiophenone,Propiophenone,liquid,"['aroma-chemicals', 'cherry', 'floral', 'fruity', 'hawthorn', 'herbaceous', 'ingredients-for-perfumery', 'lilac', 'liquids', 'molecules', 'radiant', 'restricted', 'sweet']",['93-55-0'],"['floral-lilac and hawthorne', 'sweet', 'fruity-cherry']",,['Ethyl phenyl ketone'],
tropical-thiazole,https://pellwall.com/products/tropical-thiazole,Tropical Thiazole,liquid,"['aroma-chemicals', 'earthy', 'fruity', 'green', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'nutty', 'onion', 'peach', 'rooty', 'sulphurous', 'tropical', 'vegetable']",['15679-13-7'],"['fruity', 'tropical', 'peach', 'onion', 'earthy']",TEC to form a 0.1% solution of tropical thiazole,"['2-isopropyl-4-methylthiazole;\xa04-methyl-2-propan-2-yl-1,3-thiazole', 'Peach Thiazole']",
sclareolate,https://pellwall.com/products/sclareolate,Sclareolate,liquid,"['aroma-chemicals', 'clary-sage', 'floral', 'fresh', 'ingredients-for-perfumery', 'linalool', 'liquids', 'molecules', 'radiant', 'woody']",['319002-92-1'],,,"['clary propionate;\xa0Propyl (2S)-2-(1,1-dimethylpropoxy)-propanoate']",Firmenich
potato-pyrazine,https://pellwall.com/products/potato-pyrazine,Potato Pyrazine,liquid,"['aroma-chemicals', 'baked-potato', 'chocolate', 'hazelnut', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musty', 'natural', 'nutty', 'powdery', 'roasted']",['14667-55-1'],,IPM to form a 0.1% solution of potato pyrazine,"['2,3,5-Trimethylpyrazine']",
muscone,https://pellwall.com/products/muscone,Muscone,liquid,"['animalic', 'aroma-chemicals', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'radiant', 'rich', 'soft', 'sweet']",['541-91-3'],"['musk', 'powdery', 'soft', 'animalic']",,"['3-methyl-1-cyclopentadecanone', 'dextro,laevo-muscone', 'dl-muscone', 'methylcyclopentadecanone;\xa0methyl exaltone;\xa0moschus ketone']",Firmenich
methyl-salicylate,https://pellwall.com/products/methyl-salicylate,Methyl Salicylate,liquid,"['aroma-chemicals', 'floral', 'fruity', 'green', 'ingredients-for-perfumery', 'liquids', 'medicinal', 'metallic', 'molecules', 'rooty', 'salicylate', 'sweet', 'sweets', 'tuberose', 'warm', 'wintergreen']",['119-36-8'],,,"['2-Hydroxybenzoic acid methyl esters Methyl 2-hydroxybenzoate Sweet Birch', 'synthetic Teaberry oil', 'synthetic', 'Wintergreen', 'synthetic']",
labdanum-absolute,https://pellwall.com/products/labdanum-absolute,Labdanum Absolute,solid,"['absolutes', 'amber', 'ambergris', 'dry', 'fixatives', 'ingredients-for-perfumery', 'labdanum', 'liquids', 'natural-ingredients-for-perfumery', 'old-wood', 'radiant', 'resinous', 'solids', 'sweet']",['8016-26-0'],,,['Cistus ladaniferus'],
jasmine-synthetic-jasmophore,https://pellwall.com/products/jasmine-synthetic-jasmophore,Jasmine Synthetic - Jasmophore,liquid,"['aroma-chemicals', 'blends-and-bases', 'floral', 'ingredients-for-perfumery', 'jasmine', 'liquids', 'out-of-stock', 'radiant']",[],,,"['Jasmine absolute replacer', 'Jasmine Absolute', 'nature identical']",Firmenich
floral-base,https://pellwall.com/products/floral-base,Floral Base,liquid,"['aroma-chemicals', 'blends-and-bases', 'fixatives', 'floral', 'ingredients-for-perfumery', 'liquids', 'pell-wall-specialities', 'rich', 'velvety']",[],,,[],
dimethyl-phenethyl-butyrate,https://pellwall.com/products/dimethyl-phenethyl-butyrate,Dimethyl phenethyl butyrate,liquid,"['aroma-chemicals', 'clean', 'floral', 'fruity', 'herbaceous', 'ingredients-for-perfumery', 'liquids', 'molecules', 'plum', 'prunes', 'sweet', 'tea', 'warm', 'woody']",['10094-34-5'],"['fruity-plum', 'soft', 'floral', 'woody']",,"['alpha,alpha-dimethyl phenethyl butyrate;\xa0Dimethyl benzyl carbinyl butyrate', 'DMBC butyrate']",
delta-decalactone,https://pellwall.com/products/delta-decalactone,delta-Decalactone,liquid,"['aroma-chemicals', 'celery', 'coumarin', 'creamy', 'fruity', 'ingredients-for-perfumery', 'lactonic', 'liquids', 'molecules', 'nutty', 'peach', 'soft', 'sweet']",['705-86-2'],"['sweet', 'creamy', 'lactonic', 'nutty', 'fruity', 'celery']",,"['6-pentyloxan-2-one;\xa05-decanolide', 'decalactone', 'delta', 'd-decalactone']",
costus-oliffac,https://pellwall.com/products/costus-oliffac,Costus Oliffac,liquid,"['animalic', 'aroma-chemicals', 'blends-and-bases', 'costus', 'earthy', 'floral', 'grass', 'ingredients-for-perfumery', 'leather', 'liquids', 'natural', 'orris', 'plasticine', 'suede', 'warm', 'waxy', 'wet-dog', 'woody']",[],,,[],IFF
cedroxyde,https://pellwall.com/products/cedroxyde,Cedroxyde,liquid,"['amber', 'ambery', 'aroma-chemicals', 'cedar', 'dry', 'fixatives', 'ingredients-for-perfumery', 'liquids', 'molecules', 'patchouli', 'powdery', 'radiant', 'sandalwood', 'woody']",['71735-79-0'],"['woody', 'dry', 'amber', 'cedar', 'patchouli', 'sandalwood']",,"['(4Z,8Z)-1,2,2-trimethyl-13-oxabicyclo[10.1.0]trideca-4,8-diene', 'cedroxide;\xa0trimethyl cyclodecatrine epoxide;\xa0trimethyloxabicyclotridecadiene']",Firmenich
benzothiazole,https://pellwall.com/products/benzothiazole,Benzothiazole,liquid,"['aroma-chemicals', 'coffee-like', 'cooked', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'meaty', 'molecules', 'nutty', 'rubbery', 'sulphurous', 'vegetable']",['95-16-9'],"['sulphurous', 'rubbery', 'vegetable', 'cooked', 'nutty', 'coffee-like', 'meaty']",Ethanol (denat) to form a 1% solution of benzothiazole,"['1,3-benzothiazole', 'benzo thiazole']",
1-octen-3-yl-acetate,https://pellwall.com/products/1-octen-3-yl-acetate,1-octen-3-yl acetate,liquid,"['apple', 'aroma-chemicals', 'citrus', 'earthy', 'floral', 'fruity', 'geranium', 'green', 'herbaceous', 'herbal', 'ingredients-for-perfumery', 'lavender', 'liquids', 'minty', 'molecules', 'mushroom', 'rosy', 'sweet']",['2442-10-6'],"['mushroom', 'lavender', 'earthy', 'green', 'fresh']",,"['1-Octen-3-ol', 'acetate', '1-vinyl hexyl acetate', '3-Acetoxyoctene', 'Amyl crotonyl acetate', 'Amyl vinyl carbinyl acetate', 'Matsutake Acetate', 'beta-Octenyl acetate', 'Octenyl Acetate', 'n-Pentyl vinyl carbinol acetate.']",
pistachio-thiazole,https://pellwall.com/products/pistachio-thiazole,Pistachio Thiazole,liquid,"['aroma-chemicals', 'earthy', 'green', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'meaty', 'molecules', 'nutty', 'pistachio', 'rooty', 'savoury', 'sulphurous', 'vegetable']",['15679-12-6'],"['pistachio', 'green', 'nutty', 'savoury']",DPG to form a 0.1% solution of pistachio thiazole,"['2-ethyl-4-methyl-1,3-thiazole', '2-ethy 4 methyl thiazole', 'chocolate thiazole', 'coffee thiazole;']",
gamma-terpinene,https://pellwall.com/products/gamma-terpinene,gamma-Terpinene,liquid,"['aroma-chemicals', 'citrus', 'fresh', 'herbaceous', 'ingredients-for-perfumery', 'lime', 'liquids', 'molecules', 'sweet', 'terpenic', 'tropical', 'woody']",['99-85-4'],,,"['1-methyl-4-propan-2-ylcyclohexa-1,4-diene,\xa01,4-p-menthadiene']",
rose-crystals,https://pellwall.com/products/rose-crystals,Rose Crystals,solid,"['aroma-chemicals', 'balsamic', 'fixatives', 'floral', 'ingredients-for-perfumery', 'mild', 'molecules', 'rose', 'solids']",['90-17-5'],"['mild', 'floral-rose', 'balsamic']",,"['Trichloro methyl phenyl carbinyl acetate', 'rose acetate']",
mmb,https://pellwall.com/products/mmb,MMB,liquid,"['ingredients-for-perfumery', 'liquids', 'near-odourless', 'solvents-amp-additives']",['56539-66-3'],,,"['3-Methoxy-3-Methyl-1-Butanol,\xa0Methoxymethylbutano']",
isocyclocitral,https://pellwall.com/products/isocyclocitral,Isocyclocitral,liquid,"['aroma-chemicals', 'damp-soil', 'dry', 'earthy', 'flower-shop', 'foliage', 'fresh', 'green', 'ingredients-for-perfumery', 'leafy', 'lemon', 'liquids', 'marine', 'molecules', 'natural', 'sharp', 'stems', 'wet']",['1335-66-6'],,,"['Iso Cyclo Citral', 'iso-Cyclo Citral', 'Isocyclo Citral;\xa0mera-Cyclocitral']",IFF
iso-amyl-phenyl-acetate,https://pellwall.com/products/iso-amyl-phenyl-acetate,Iso Amyl Phenyl Acetate,liquid,"['animalic', 'aroma-chemicals', 'chocolate', 'cocoa', 'dried-fruit', 'fixatives', 'floral', 'fresh', 'fruity', 'honey', 'ingredients-for-perfumery', 'liquids', 'molecules', 'petal', 'radiant', 'rose', 'sweet']",['102-19-2'],"['balsamic', 'chocolate', 'floral-rose', 'honey', 'musk', 'animal']",,"['3-methylbutyl 2-phenylacetate', 'Amyl Phenyl Acetate', 'Iso-amyl Phenyl Acetate', 'iso-Amyl ;Phenylacetate', 'Isoamyl Phenylacetate']",
green-pea-pyrazine,https://pellwall.com/products/green-pea-pyrazine,Green Pea Pyrazine,liquid,"['aroma-chemicals', 'bell-pepper', 'earthy', 'galbanum', 'green-peas', 'high-impact-materials', 'humus', 'ingredients-for-perfumery', 'liquids', 'molecules', 'nutty', 'raw-potato']",['93905-03-4'],,DPG to form a 0.1% solution of green pea pyrazine,"['2-methoxy-3(5 or 6)-isopropyl pyrazine;\xa02-methoxy-3,5(6)-isopropyl pyrazine', 'iso\xa0propyl methoxy pyrazine']",
ethyl-acetoacetate,https://pellwall.com/products/ethyl-acetoacetate,Ethyl acetoacetate,liquid,"['apple', 'aroma-chemicals', 'ethereal', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'rum', 'sweet']",[],,,"['Ethyl Aceto Acetate', 'EAA', 'acetoacetic ester']",
civet-synthetic-1,https://pellwall.com/products/civet-synthetic-1,"Civet, synthetic 1%",liquid,"['animalic', 'aroma-chemicals', 'blends-and-bases', 'faecal', 'fixatives', 'high-impact-materials', 'ingredients-for-perfumery', 'liquids', 'radiant', 'warm']",[],"['animalic', 'faecal', 'musk', 'warm']",Ethanol (denat) to form a 1% solution of civet synthetic,"['civet', 'civette synthetic']",Firmenich
2-5-xylenol-1,https://pellwall.com/products/2-5-xylenol-1,"2,5-Xylenol 1%",,"['bacon', 'burnt', 'creosote', 'guaiacol', 'naphthelene-mothballs', 'oud', 'phenolic', 'smoky']",['95-87-4'],,"- TEC to form a 1% solution of 2,5-Xylenol","['2,5-Dimethylphenol']",
jasmorange,https://pellwall.com/products/jasmorange,Jasmorange,liquid,"['amber', 'aroma-chemicals', 'bright', 'citrus', 'costus', 'cyclamen', 'dry', 'floral', 'fresh', 'fruity', 'green', 'herbal', 'ingredients-for-perfumery', 'jasmine', 'liquids', 'melon', 'molecules', 'natural', 'orange', 'powdery', 'sweet', 'watermelon', 'woody']",['41496-43-9'],,,"['2-Methyl-3-tolylpropionaldehyde', 'alpha,4-dimethylbenzenepropanal', 'satinaldehyde']",BASF
phenoxyethyl-isobutyrate,https://pellwall.com/products/phenoxyethyl-isobutyrate,Phenoxyethyl isobutyrate,liquid,"['apple', 'aroma-chemicals', 'floral', 'fruity', 'honey', 'ingredients-for-perfumery', 'liquids', 'molecules', 'pastry', 'rose', 'sweet']",['103-60-6'],,,"['2-Phenoxyethyl isobutyrate', '2-(phenoxy)ethyl 2-methylpropanoate', 'Phenirat', 'Phenoxy Ethyl iso Butyrate']",
m-cresol-1-in-dpg,https://pellwall.com/products/m-cresol-1-in-dpg,"m-Cresol, 1% in DPG",liquid,"['aroma-chemicals', 'dry', 'floral', 'halloween', 'high-impact-materials', 'ingredients-for-perfumery', 'leather', 'liquids', 'medicinal', 'molecules', 'phenolic', 'smoky', 'woody']",['108-39-4'],,DPG to give a 1% solution of m-Cresol,"['3-Cresol', 'meta-Cresol', 'meta-Cresylic acid', '3-hydroxytoluene', '3-methyl phenol']",
ethyl-methyl-2-butyrate,https://pellwall.com/products/ethyl-methyl-2-butyrate,Ethyl methyl 2 butyrate,liquid,"['aroma-chemicals', 'fresh', 'fruity', 'green', 'ingredients-for-perfumery', 'liquids', 'molecules', 'pear', 'pineapple']","['7452-79-1', '53956-13-1']","['fruity', 'pear', 'pineapple', 'green', 'fresh']",,"['Berry Butyrate', 'ethyl 2-methylbutanoate']",
karmawood,https://pellwall.com/products/karmawood,Karmawood,solid,"['amber', 'animalic', 'aroma-chemicals', 'creamy', 'driftwood', 'dry', 'ingredients-for-perfumery', 'liquids', 'molecules', 'powdery', 'radiant', 'sandalwood', 'solids', 'woody']",['70788-30-6'],,DPG 50%,"['1-(2,2,6-trimethylcyclohexyl)hexan-3-ol;\xa0Timber propanol', 'Timberol']",IFF
peomosa,https://pellwall.com/products/peomosa,Peomosa,liquid,"['aroma-chemicals', 'dewy', 'fixatives', 'floral', 'green', 'ingredients-for-perfumery', 'liquids', 'molecules', 'paeony', 'peony', 'rose']",['19819-98-8'],"['floral-paeony and rose', 'green', 'dewy']",,[],IFF
verdilyn-hyacinth-body,https://pellwall.com/products/verdilyn-hyacinth-body,Verdilyn / Hyacinth Body,liquid,"['aroma-chemicals', 'fixatives', 'floral', 'fresh', 'green', 'herbaceous', 'herbal', 'hyacinth', 'ingredients-for-perfumery', 'leafy', 'lilac', 'liquids', 'molecules', 'nasturtium', 'natural', 'rose']",['2556-10-7'],,,"['acetal E', 'acetaldehyde ethyl 2-phenylethyl acetal', 'corps jacinthe', 'efetaal,\xa0nasturtium\xa0acetal', 'verotyl', 'verotyl II', 'vertocinth']",IFF
oxania-base,https://pellwall.com/products/oxania-base,Oxania Base,liquid,"['aroma-chemicals', 'blends-and-bases', 'fresh', 'fruity', 'grapefruit', 'green', 'ingredients-for-perfumery', 'lemon', 'liquids', 'natural', 'passionfruit', 'strong', 'tropical']",[],,,['Tropical speciality'],Firmenich
orange-flower-ether,https://pellwall.com/products/orange-flower-ether,Orange Flower Ether,liquid,"['aroma-chemicals', 'bergamot', 'citrus', 'fresh', 'grapefruit', 'ingredients-for-perfumery', 'liquids', 'molecules', 'neroli', 'orange-blossom']",['14576-08-0'],,,"['alpha-terpinyl methyl ether', '4-(2-Methoxypropan-2-yl)-1-methylcyclohexene', 'Terpinyl methyl ether']",IFF
methyl-diantilis,https://pellwall.com/products/methyl-diantilis,Methyl Diantilis,liquid,"['aroma-chemicals', 'carnation', 'clove', 'floral', 'ingredients-for-perfumery', 'liquids', 'molecules', 'powdery', 'smoky', 'spicy', 'sweet', 'vanilla']",['5595-79-9'],,,"['2-ethoxy-4-(methoxymethyl)phenol', 'Dianthus ethanone']",Givaudan
gamma-dodecalactone,https://pellwall.com/products/gamma-dodecalactone,gamma-Dodecalactone,liquid,"['aroma-chemicals', 'creamy', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'peach', 'sweet']",['2305-05-7'],"['fruity-peach', 'creamy', 'sweet']",,['5-octyloxolan-2-one'],
grapefruit-base-15794,https://pellwall.com/products/grapefruit-base-15794,Grapefruit Base 15794,liquid,"['aroma-chemicals', 'blends-and-bases', 'citrus', 'fruity', 'grapefruit', 'ingredients-for-perfumery', 'liquids', 'sharp']",[],,,['Grapefruit recreation'],Firmenich
eugenyl-acetate,https://pellwall.com/products/eugenyl-acetate,Eugenyl acetate,liquid,"['aroma-chemicals', 'carnation', 'clove', 'fixatives', 'floral', 'fresh', 'fruity', 'ingredients-for-perfumery', 'liquids', 'mellowing', 'molecules', 'spicy', 'sweet', 'woody']",['93-28-7'],"['fresh', 'sweet', 'spicy-clove floral-carnation', 'woody']",,"['Eugenol acetate', 'Acetyl eugenol']",
eucalyptol-ni,https://pellwall.com/products/eucalyptol-ni,Eucalyptol - NI,liquid,"['aroma-chemicals', 'camphoraceous', 'clean', 'cool', 'eucalyptus', 'fresh', 'herbaceous', 'ingredients-for-perfumery', 'liquids', 'minty', 'molecules', 'natural-ingredients-for-perfumery', 'natural-isolates', 'pine', 'refreshing']",['470-82-6'],"['clean', 'very fresh', 'camphoraceous-cool', 'eucalyptus', 'pine']",,"['1,8-Cineole']",
cinnamon-bark-oliffac,https://pellwall.com/products/cinnamon-bark-oliffac,Cinnamon Bark Oliffac,liquid,"['aroma-chemicals', 'blends-and-bases', 'bright', 'cinnamon', 'clean', 'halloween', 'hot', 'ingredients-for-perfumery', 'liquids', 'spicy', 'sweet', 'warm', 'woody']",[],,,[],IFF
bergamot,https://pellwall.com/products/bergamot,Bergamot CP,liquid,"['aldehydic', 'citrus', 'earl-grey-tea', 'essential-oils', 'fresh', 'ingredients-for-perfumery', 'liquids', 'natural-ingredients-for-perfumery']",['89957-91-5'],,,"['Citrus bergamia', 'Citrus aurantium var. Bergamia']",
bergamal,https://pellwall.com/products/bergamal,Bergamal,liquid,"['aldehydic', 'aroma-chemicals', 'bergamot', 'citron', 'dry', 'ingredients-for-perfumery', 'lemon', 'liquids', 'molecules', 'orange', 'refreshing', 'verbena']",['22418-66-2'],,,"['3,7-dimethyl-2-methylideneoct-6-enal;\xa0alpha-methylene citronellal']",IFF
ambrettolide-iff,https://pellwall.com/products/ambrettolide-iff,Ambrettolide IFF,liquid,"['ambrette', 'aroma-chemicals', 'berry', 'fixatives', 'floral', 'fruity', 'ingredients-for-perfumery', 'liquids', 'molecules', 'musk', 'musks', 'perfume-like', 'radiant', 'sweet']",['28645-51-4'],"['musk', 'ambrette', 'fruity-berry']",,"['(9Z)-17-oxacycloheptadec-9-en-1-one', 'iso-Ambrettolide;\xa0hexadec-9-en-1,16 lactone', 'lanbrettolide;\xa0scentolide.']",IFF
rosamusk,https://pellwall.com/products/rosamusk,Rosamusk,liquid,[],['25225-10-9'],,,['acetate;\xa0Musk Acetate'],IFF
oud-synthetic-firmenich,https://pellwall.com/products/oud-synthetic-firmenich,Oud Synthetic (Firmenich),liquid,"['animalic', 'aroma-chemicals', 'balsamic', 'blends-and-bases', 'fixatives', 'ingredients-for-perfumery', 'leather', 'liquids', 'oud', 'woody']",[],"['oud', 'woody', 'balsamic', 'animal']",,[],Firmenich
oranger-crystals,https://pellwall.com/products/oranger-crystals,Oranger Crystals,solid,"['aroma-chemicals', 'fixatives', 'floral', 'fruity', 'ingredients-for-perfumery', 'molecules', 'neroli', 'orange-blossom', 'powdery', 'solids', 'strawberry', 'sweet']",['93-08-3'],,,"['Cetone D', 'beta-Napthyl methyl ketone', 'nerolys nerolon', 'orangeol', 'orenolia']",
narcisse-base,https://pellwall.com/products/narcisse-base,Narcisse Base,liquid,"['aroma-chemicals', 'blends-and-bases', 'daffodil', 'floral', 'fresh', 'fruity', 'green', 'honey', 'ingredients-for-perfumery', 'jasmine', 'liquids', 'phenolic', 'tuberose']",[],,,"['narcissus absolute', 'synthetic']",Firmenich
montaverdi-1,https://pellwall.com/products/montaverdi-1,Montaverdi 1%,liquid,"['aldehydic', 'apple', 'aroma-chemicals', 'floral', 'flower-shop', 'fresh', 'fruity', 'green', 'herbal', 'high-impact-materials', 'ingredients-for-perfumery', 'lavender', 'liquids', 'molecules', 'natural', 'sweet', 'tropical-fruit', 'vegetable']",['188570-78-7'],"['fresh', 'floral', 'fruity', 'green', 'natural', 'aldehydic', 'apple', 'tropical fruit']",IPM to form a 1% solution of Montaverdi,"['Green Cycloproprionate', 'cis-3-Hexenyl cycloproprionate']",IFF
herbalime,https://pellwall.com/products/herbalime,Herbalime,liquid,"['aroma-chemicals', 'camphoraceous', 'citrus', 'fresh', 'green', 'herbal', 'ingredients-for-perfumery', 'lime', 'liquids', 'molecules']",['68956-56-9'],,,"['dipentene terpene hydrocarbon byproducts', 'terpene hydrocarbons']",IFF
